Date,AC,ACEN,ACENB,AEV,AGI,ALCPF,ALI,AP,AREIT,BDO,BPI,CBC,CLIA2,CNPF,CPGPB,CREIT,DDMPR,DMC,EMI,FGEN,FILRT,GLO,GTCAP,ICT,JFC,JGS,MBT,MEG,MER,MONDE,MPI,MREIT,NIKL,PGOLD,PRF4E,PX,RCR,RLC,RRHI,SCC,SECB,SM,SMC,SMC2M,SMC2O,SMPH,TEL,UBP,URC,VLL2B,VREIT,WLCON
3/18/2025, ₱596.50 , ₱2.97 ," ₱1,070.00 ", ₱32.60 , ₱6.11 ,0, ₱22.30 , ₱41.95 , ₱38.75 , ₱158.94 , ₱134.60 , ₱91.30 ,0, ₱39.00 , ₱101.00 , ₱3.16 , ₱1.05 , ₱11.41 , ₱11.90 , ₱17.04 , ₱3.10 ," ₱2,100.00 ", ₱499.99 , ₱385.20 , ₱251.80 , ₱18.10 , ₱72.40 , ₱1.80 , ₱503.00 , ₱7.04 ,0, ₱13.90 , ₱2.44 , ₱26.85 ,, ₱6.49 , ₱6.60 , ₱12.00 , ₱38.05 , ₱36.92 , ₱70.20 , ₱811.13 , ₱83.50 ,, ₱82.40 , ₱23.80 ," ₱1,338.00 ", ₱32.90 , ₱74.30 ,0, ₱1.90 , ₱7.17 
3/19/2025, ₱606.00 , ₱3.01 ," ₱1,070.00 ", ₱32.70 , ₱5.93 ,0, ₱22.25 , ₱41.80 , ₱39.00 , ₱159.53 , ₱138.00 , ₱92.73 ,0, ₱40.00 , ₱101.00 , ₱3.14 , ₱1.04 , ₱11.24 , ₱11.92 , ₱16.88 , ₱3.09 ," ₱2,200.00 ", ₱510.44 , ₱374.00 , ₱250.20 , ₱18.00 , ₱73.00 , ₱1.81 , ₱515.00 , ₱7.04 ,0, ₱13.70 , ₱2.40 , ₱27.05 ,, ₱6.41 , ₱6.51 , ₱12.00 , ₱37.90 , ₱36.87 , ₱70.00 , ₱806.14 , ₱83.50 ,, ₱82.35 , ₱24.10 ," ₱1,345.00 ", ₱32.90 , ₱75.90 ,0, ₱1.89 , ₱6.96 
3/20/2025, ₱604.00 , ₱3.00 ," ₱1,080.00 ", ₱32.50 , ₱6.01 ,0, ₱22.50 , ₱39.95 , ₱39.10 , ₱159.53 , ₱135.20 , ₱93.47 ,0, ₱40.20 , ₱101.00 , ₱3.15 , ₱1.04 , ₱11.55 , ₱12.16 , ₱16.80 , ₱3.09 ," ₱2,200.00 ", ₱508.45 , ₱374.00 , ₱248.00 , ₱17.96 , ₱73.45 , ₱1.85 , ₱523.00 , ₱7.30 ,0, ₱13.70 , ₱2.44 , ₱27.10 ,, ₱7.15 , ₱6.60 , ₱12.10 , ₱38.00 , ₱36.82 , ₱71.00 , ₱808.14 , ₱83.50 ,, ₱82.35 , ₱24.40 ," ₱1,332.00 ", ₱33.30 , ₱76.00 ,0, ₱1.89 , ₱6.96 
3/21/2025, ₱588.00 , ₱3.05 ," ₱1,080.00 ", ₱32.10 , ₱6.01 ,0, ₱22.70 , ₱39.95 , ₱39.45 , ₱158.84 , ₱134.50 , ₱92.78 ,0, ₱40.90 ,, ₱3.13 , ₱1.04 , ₱11.47 , ₱12.00 , ₱17.00 , ₱3.08 ," ₱2,198.00 ", ₱504.97 , ₱371.00 , ₱238.00 , ₱17.52 , ₱73.00 , ₱1.86 , ₱528.00 , ₱7.51 ,0, ₱13.96 , ₱2.44 , ₱26.60 ,, ₱7.08 , ₱6.43 , ₱11.98 , ₱38.30 , ₱37.80 , ₱71.50 , ₱798.16 , ₱83.45 ,, ₱82.45 , ₱23.50 ," ₱1,301.00 ", ₱34.30 , ₱76.50 ,0, ₱1.89 , ₱7.25 
3/24/2025, ₱579.50 , ₱3.00 ,, ₱32.40 , ₱6.01 ,0, ₱22.25 , ₱38.50 , ₱39.00 , ₱155.96 , ₱132.00 , ₱92.78 ,0, ₱39.40 , ₱100.00 , ₱3.14 , ₱1.04 , ₱11.24 , ₱12.44 , ₱16.80 , ₱3.07 ," ₱2,162.00 ", ₱504.97 , ₱360.00 , ₱240.00 , ₱16.72 , ₱73.60 , ₱1.85 , ₱523.00 , ₱7.48 ,0, ₱13.90 , ₱2.40 , ₱25.95 ,, ₱7.10 , ₱6.30 , ₱11.96 , ₱38.20 , ₱36.23 , ₱72.00 , ₱798.16 , ₱83.40 ,, ₱82.40 , ₱23.15 ," ₱1,290.00 ", ₱34.00 , ₱75.00 ,0, ₱1.89 , ₱7.24 
3/25/2025, ₱567.00 , ₱2.98 ,, ₱31.15 , ₱6.01 ,0, ₱22.25 , ₱38.50 , ₱39.45 , ₱154.58 , ₱132.20 , ₱91.45 ,0, ₱39.05 , ₱101.00 , ₱3.15 , ₱1.05 , ₱10.89 , ₱12.56 , ₱16.70 , ₱3.07 ," ₱2,162.00 ", ₱498.00 , ₱363.20 , ₱232.80 , ₱16.22 , ₱73.00 , ₱1.81 , ₱525.00 , ₱7.30 ,0, ₱13.96 , ₱2.24 , ₱26.30 ," ₱1,070.00 ", ₱6.80 , ₱6.20 , ₱11.90 , ₱38.00 , ₱34.57 , ₱71.00 , ₱793.17 , ₱83.00 ,, ₱81.00 , ₱23.40 ," ₱1,292.00 ", ₱33.00 , ₱76.45 ,0, ₱1.90 , ₱7.22 
3/26/2025, ₱571.00 , ₱2.94 ," ₱1,090.00 ", ₱31.30 , ₱6.00 ,0, ₱21.95 , ₱38.75 , ₱39.40 , ₱151.70 , ₱134.80 , ₱92.29 ,0, ₱39.05 , ₱101.00 , ₱3.15 , ₱1.04 , ₱10.98 , ₱12.66 , ₱16.60 , ₱3.07 ," ₱2,162.00 ", ₱483.06 , ₱374.00 , ₱233.60 , ₱16.30 , ₱73.85 , ₱1.81 , ₱548.00 , ₱7.18 ,0, ₱13.88 , ₱2.25 , ₱28.00 ," ₱1,050.00 ", ₱7.09 , ₱6.20 , ₱11.70 , ₱37.90 , ₱34.76 , ₱71.00 , ₱784.69 , ₱82.60 ,, ₱82.00 , ₱22.50 ," ₱1,284.00 ", ₱33.25 , ₱73.70 ,0, ₱1.80 , ₱7.05 
3/27/2025, ₱565.00 , ₱2.89 ," ₱1,069.00 ", ₱31.60 , ₱6.01 ,0, ₱21.70 , ₱38.80 , ₱39.00 , ₱152.60 , ₱134.50 , ₱92.19 ,0, ₱38.00 , ₱101.00 , ₱3.14 , ₱1.04 , ₱11.00 , ₱12.70 , ₱16.64 , ₱3.08 ," ₱2,194.00 ", ₱487.04 , ₱367.00 , ₱233.00 , ₱16.68 , ₱74.00 , ₱1.77 , ₱535.00 , ₱7.01 ,0, ₱13.70 , ₱2.31 , ₱28.00 ,, ₱7.20 , ₱6.23 , ₱11.68 , ₱37.45 , ₱35.45 , ₱70.00 , ₱779.20 , ₱82.60 ,, ₱82.00 , ₱22.80 ," ₱1,283.00 ", ₱33.45 , ₱72.20 ,0, ₱1.89 , ₱6.79 
3/28/2025, ₱563.00 , ₱2.89 ," ₱1,069.00 ", ₱32.00 , ₱6.00 ,0, ₱22.30 , ₱38.50 , ₱39.45 , ₱152.60 , ₱134.60 , ₱91.35 ,0, ₱37.60 , ₱101.00 , ₱3.14 , ₱1.05 , ₱11.14 , ₱12.90 , ₱16.36 , ₱3.12 ," ₱2,244.00 ", ₱497.00 , ₱370.00 , ₱233.40 , ₱16.48 , ₱73.60 , ₱1.78 , ₱528.00 , ₱7.00 ,0, ₱13.84 , ₱2.29 , ₱27.90 ,, ₱7.20 , ₱6.24 , ₱11.96 , ₱37.50 , ₱35.21 , ₱70.00 , ₱779.20 , ₱81.65 ,, ₱82.25 , ₱22.80 ," ₱1,284.00 ", ₱33.95 , ₱71.00 ,0, ₱1.90 , ₱6.80 
3/31/2025, ₱591.00 , ₱3.04 ," ₱1,070.00 ", ₱33.00 , ₱6.08 ,0, ₱23.00 , ₱38.60 , ₱39.50 , ₱151.90 , ₱132.00 , ₱91.99 ,0, ₱36.55 ,, ₱3.16 , ₱1.05 , ₱11.22 , ₱13.08 , ₱16.68 , ₱3.08 ," ₱2,244.00 ", ₱509.00 , ₱355.00 , ₱240.00 , ₱16.50 , ₱73.00 , ₱1.79 , ₱550.00 , ₱7.23 ,0, ₱13.86 , ₱2.21 , ₱28.10 ,, ₱7.30 , ₱6.30 , ₱11.74 , ₱37.70 , ₱34.52 , ₱70.00 , ₱786.19 , ₱81.65 ,, ₱81.10 , ₱24.00 ," ₱1,271.00 ", ₱33.00 , ₱70.00 ,0, ₱1.90 , ₱6.77 
4/2/2025, ₱591.00 , ₱2.99 ," ₱1,070.00 ", ₱32.70 , ₱6.18 ,0, ₱23.90 , ₱38.60 , ₱39.50 , ₱156.56 , ₱138.10 , ₱91.99 ,0, ₱35.70 ,0, ₱3.16 , ₱1.05 , ₱11.34 , ₱13.16 , ₱16.68 , ₱3.08 ," ₱2,238.00 ", ₱513.50 , ₱361.60 , ₱231.20 , ₱16.84 , ₱74.60 , ₱1.84 , ₱542.00 , ₱7.57 ,0, ₱13.72 , ₱2.25 , ₱27.95 ,, ₱7.50 , ₱6.31 , ₱11.86 , ₱37.70 , ₱35.25 , ₱71.15 , ₱790.18 , ₱82.75 ,, ₱81.20 , ₱23.65 ," ₱1,260.00 ", ₱33.95 , ₱70.15 ,0, ₱1.87 , ₱6.84 
4/3/2025, ₱566.00 , ₱2.91 ," ₱1,070.00 ", ₱32.25 , ₱6.11 ,0, ₱23.75 , ₱38.65 , ₱39.30 , ₱154.18 , ₱133.90 , ₱91.30 ,0, ₱34.15 ,0, ₱3.14 , ₱1.04 , ₱11.24 , ₱13.06 , ₱16.56 , ₱3.08 ," ₱2,200.00 ", ₱495.00 , ₱353.00 , ₱224.00 , ₱16.50 , ₱74.40 , ₱1.83 , ₱550.00 , ₱7.35 ,0, ₱13.74 , ₱2.25 , ₱26.60 ," ₱1,050.00 ", ₱7.43 , ₱6.31 , ₱11.78 , ₱37.20 , ₱35.45 , ₱71.80 , ₱783.19 , ₱82.45 ,, ₱81.50 , ₱23.30 ," ₱1,250.00 ", ₱33.60 , ₱69.35 ,0, ₱1.90 , ₱6.84 
4/4/2025, ₱571.00 , ₱2.88 ," ₱1,059.00 ", ₱32.25 , ₱6.08 ,0, ₱23.70 , ₱38.35 , ₱38.95 , ₱154.18 , ₱133.00 , ₱90.51 ,0, ₱34.25 ,0, ₱3.16 , ₱1.04 , ₱11.24 , ₱12.90 , ₱16.62 , ₱3.08 ," ₱2,170.00 ", ₱500.00 , ₱336.80 , ₱224.20 , ₱16.18 , ₱73.05 , ₱1.79 , ₱545.00 , ₱7.19 ,0, ₱13.72 , ₱2.22 , ₱26.55 ,, ₱7.05 , ₱6.13 , ₱11.68 , ₱37.00 , ₱35.45 , ₱71.90 , ₱778.21 , ₱81.90 ,, ₱81.50 , ₱22.95 ," ₱1,235.00 ", ₱33.50 , ₱69.90 ,0, ₱1.89 , ₱6.76 
4/7/2025, ₱552.50 , ₱2.74 ," ₱1,059.00 ", ₱30.70 , ₱6.00 ,0, ₱22.50 , ₱37.00 , ₱38.10 , ₱147.64 , ₱127.50 , ₱87.88 ,0, ₱32.00 ,0, ₱3.10 , ₱1.02 , ₱10.75 , ₱12.76 , ₱16.20 , ₱3.07 ," ₱2,090.00 ", ₱476.00 , ₱320.00 , ₱203.00 , ₱16.00 , ₱67.50 , ₱1.74 , ₱528.00 , ₱6.70 ,0, ₱13.66 , ₱2.02 , ₱25.80 ," ₱1,035.00 ", ₱6.28 , ₱6.10 , ₱11.16 , ₱36.20 , ₱33.90 , ₱68.00 , ₱744.28 , ₱80.50 ,, ₱81.50 , ₱22.40 ," ₱1,200.00 ", ₱33.05 , ₱67.00 ,0, ₱1.89 , ₱6.00 
