Date,AC,ACEN,ACENB,AEV,AGI,ALCPF,ALI,AP,AREIT,BDO,BPI,CBC,CLIA2,CNPF,CPGPB,CREIT,DDMPR,DMC,EMI,FGEN,FILRT,GLO,GTCAP,ICT,JFC,JGS,MBT,MEG,MER,MONDE,MPI,MREIT,NIKL,PGOLD,PRF4E,PX,RCR,RLC,RRHI,SCC,SECB,SM,SMC,SMC2M,SMC2O,SMPH,TEL,UBP,URC,VLL2B,VREIT,WLCON
1/2/2024, ₱715.00 , ₱4.30 ," ₱1,080.00 ", ₱49.90 , ₱11.20 , , ₱34.55 , ₱37.70 , ₱33.35 , ₱126.63 , ₱105.80 , ₱30.61 ,, ₱31.00 ,CPGPB, ₱2.58 , ₱1.23 , ₱9.23 , ₱20.85 , ₱17.80 , ₱2.62 ," ₱1,735.00 ", ₱597.59 , ₱256.00 , ₱255.00 , ₱40.00 , ₱51.70 , ₱1.98 , ₱399.00 , ₱8.45 ,0, ₱12.48 , ₱5.18 , ₱27.10 ,, ₱3.31 , ₱4.88 , ₱15.90 , ₱40.70 , ₱27.56 , ₱72.00 , ₱879.97 , ₱110.00 ,, ₱76.75 , ₱32.30 ," ₱1,275.00 ", ₱49.05 , ₱124.00 ,, ₱1.66 , ₱21.25 
1/3/2024, ₱706.00 , ₱4.35 ," ₱1,060.00 ", ₱49.00 , ₱11.32 , ₱505.00 , ₱34.25 , ₱37.80 , ₱33.65 , ₱125.05 , ₱103.50 , ₱30.61 ,, ₱31.00 , ₱100.90 , ₱2.58 , ₱1.23 , ₱9.29 , ₱20.70 , ₱17.80 , ₱2.75 ," ₱1,723.00 ", ₱595.10 , ₱249.80 , ₱254.60 , ₱40.00 , ₱51.61 , ₱1.98 , ₱394.00 , ₱8.55 ,0, ₱12.42 , ₱5.16 , ₱27.20 ,, ₱3.28 , ₱5.02 , ₱15.78 , ₱40.40 , ₱27.47 , ₱71.55 , ₱876.98 , ₱110.00 ,, ₱76.75 , ₱32.25 ," ₱1,272.00 ", ₱48.60 , ₱119.90 ,, ₱1.70 , ₱21.83 
1/4/2024, ₱725.00 , ₱4.24 ," ₱1,070.00 ", ₱49.90 , ₱11.40 , ₱503.00 , ₱34.80 , ₱37.70 , ₱33.75 , ₱129.41 , ₱104.00 , ₱30.86 ,, ₱31.00 , ₱100.90 , ₱2.57 , ₱1.23 , ₱9.37 , ₱20.75 , ₱17.92 , ₱2.82 ," ₱1,721.00 ", ₱599.09 , ₱255.40 , ₱256.00 , ₱41.30 , ₱52.43 , ₱2.00 , ₱397.00 , ₱8.57 ,0, ₱12.52 , ₱5.09 , ₱27.15 ,, ₱3.25 , ₱4.98 , ₱15.96 , ₱40.35 , ₱27.11 , ₱71.60 , ₱877.98 , ₱109.80 ,, ₱76.75 , ₱33.70 ," ₱1,284.00 ", ₱47.40 , ₱122.00 ,, ₱1.71 , ₱22.22 
1/5/2024, ₱711.50 , ₱4.47 ," ₱1,080.00 ", ₱49.90 , ₱11.46 , ₱503.00 , ₱34.30 , ₱38.25 , ₱34.00 , ₱131.89 , ₱104.50 , ₱30.91 ,, ₱31.50 , ₱100.90 , ₱2.59 , ₱1.22 , ₱9.48 , ₱20.85 , ₱17.82 , ₱2.84 ," ₱1,726.00 ", ₱603.57 , ₱252.00 , ₱258.00 , ₱42.90 , ₱52.97 , ₱2.03 , ₱399.00 , ₱8.52 ,0, ₱12.72 , ₱5.06 , ₱28.00 ," ₱1,005.00 ", ₱3.26 , ₱5.00 , ₱15.98 , ₱40.20 , ₱28.33 , ₱73.10 , ₱893.94 , ₱109.60 ,, ₱76.75 , ₱33.10 ," ₱1,280.00 ", ₱46.85 , ₱123.40 ,, ₱1.71 , ₱22.70 
1/8/2024, ₱701.50 , ₱4.56 ," ₱1,079.00 ", ₱50.00 , ₱11.58 , ₱503.00 , ₱34.00 , ₱38.20 , ₱33.00 , ₱131.09 , ₱104.00 , ₱30.96 ,, ₱32.00 , ₱100.90 , ₱2.59 , ₱1.23 , ₱9.36 , ₱20.85 , ₱17.94 , ₱2.91 ," ₱1,720.00 ", ₱607.55 , ₱249.00 , ₱257.00 , ₱43.10 , ₱52.73 , ₱2.02 , ₱395.00 , ₱8.69 ,0, ₱12.68 , ₱5.03 , ₱28.00 ," ₱1,005.00 ", ₱3.24 , ₱5.00 , ₱15.86 , ₱40.25 , ₱28.74 , ₱73.00 , ₱887.95 , ₱109.50 ,, ₱77.60 , ₱33.50 ," ₱1,280.00 ", ₱46.95 , ₱121.40 ,, ₱1.71 , ₱22.70 
1/9/2024, ₱696.00 , ₱4.44 ," ₱1,079.00 ", ₱48.60 , ₱11.70 ,, ₱34.50 , ₱38.10 , ₱33.50 , ₱132.38 , ₱105.00 , ₱31.16 ," ₱1,011.00 ", ₱32.50 , ₱101.00 , ₱2.60 , ₱1.22 , ₱9.36 , ₱20.90 , ₱17.96 , ₱2.92 ," ₱1,730.00 ", ₱604.57 , ₱246.40 , ₱253.00 , ₱41.70 , ₱53.89 , ₱2.02 , ₱391.00 , ₱8.68 ,0, ₱12.62 , ₱4.98 , ₱27.95 ," ₱1,015.00 ", ₱3.20 , ₱5.03 , ₱16.24 , ₱40.45 , ₱28.65 , ₱74.00 , ₱897.93 , ₱114.00 ,, ₱77.85 , ₱33.50 ," ₱1,297.00 ", ₱46.05 , ₱121.00 ,, ₱1.71 , ₱23.19 
1/10/2024, ₱665.00 , ₱4.31 ," ₱1,070.00 ", ₱48.30 , ₱11.46 ,, ₱34.45 , ₱38.00 , ₱33.55 , ₱133.87 , ₱104.80 , ₱31.16 ," ₱1,020.00 ", ₱33.00 , ₱101.00 , ₱2.59 , ₱1.22 , ₱9.24 , ₱20.85 , ₱17.70 , ₱2.97 ," ₱1,723.00 ", ₱609.55 , ₱241.00 , ₱250.00 , ₱40.90 , ₱53.99 , ₱2.00 , ₱382.00 , ₱8.50 ,0, ₱12.76 , ₱4.91 , ₱28.20 ," ₱1,015.00 ", ₱3.20 , ₱5.04 , ₱16.28 , ₱39.55 , ₱27.79 , ₱73.85 , ₱881.97 , ₱115.00 ,, ₱78.00 , ₱33.15 ," ₱1,288.00 ", ₱44.90 , ₱119.80 ,, ₱1.72 , ₱23.04 
1/11/2024, ₱674.00 , ₱4.31 ," ₱1,079.00 ", ₱48.50 , ₱11.60 ,, ₱34.25 , ₱38.30 , ₱33.50 , ₱138.53 , ₱108.80 , ₱31.16 ," ₱1,020.00 ", ₱33.60 ,, ₱2.61 , ₱1.23 , ₱9.44 , ₱20.85 , ₱17.70 , ₱2.99 ," ₱1,725.00 ", ₱610.54 , ₱238.40 , ₱259.80 , ₱40.20 , ₱54.48 , ₱2.00 , ₱380.00 , ₱8.63 ,0, ₱12.78 , ₱4.93 , ₱28.50 ," ₱1,015.00 ", ₱3.20 , ₱5.08 , ₱16.20 , ₱39.55 , ₱28.10 , ₱73.60 , ₱887.95 , ₱118.00 ,, ₱77.90 , ₱33.50 ," ₱1,281.00 ", ₱44.90 , ₱121.50 , ₱100.50 , ₱1.73 , ₱22.66 
1/12/2024, ₱680.50 , ₱4.33 ," ₱1,079.00 ", ₱48.70 , ₱11.52 , ₱503.00 , ₱34.05 , ₱38.35 , ₱33.60 , ₱137.73 , ₱107.00 , ₱31.16 ," ₱1,018.00 ", ₱33.80 , ₱100.50 , ₱2.66 , ₱1.24 , ₱9.44 , ₱20.85 , ₱17.90 , ₱3.09 ," ₱1,712.00 ", ₱615.52 , ₱245.80 , ₱265.00 , ₱40.20 , ₱55.84 , ₱2.00 , ₱380.00 , ₱8.41 ,0, ₱12.88 , ₱4.91 , ₱28.65 ," ₱1,000.00 ", ₱3.18 , ₱5.13 , ₱16.32 , ₱38.95 , ₱28.24 , ₱74.00 , ₱899.93 , ₱121.00 ,, ₱78.00 , ₱33.55 ," ₱1,290.00 ", ₱44.35 , ₱121.40 , ₱101.00 , ₱1.75 , ₱22.46 
1/15/2024, ₱680.50 , ₱4.39 ," ₱1,079.00 ", ₱49.50 , ₱11.60 , ₱503.00 , ₱34.00 , ₱38.35 , ₱34.00 , ₱137.73 , ₱109.00 , ₱31.21 ," ₱1,018.00 ", ₱34.00 , ₱100.00 , ₱2.65 , ₱1.25 , ₱9.67 , ₱20.85 , ₱17.90 , ₱3.17 ," ₱1,790.00 ", ₱623.99 , ₱251.20 , ₱266.80 , ₱41.00 , ₱54.87 , ₱2.00 , ₱381.00 , ₱8.36 ,0, ₱13.20 , ₱4.90 , ₱28.50 ," ₱1,000.00 ", ₱3.28 , ₱5.18 , ₱16.20 , ₱39.60 , ₱28.96 , ₱73.80 , ₱902.92 , ₱122.00 ,, ₱78.00 , ₱33.75 ," ₱1,271.00 ", ₱45.00 , ₱120.10 , ₱101.00 , ₱1.75 , ₱21.45 
1/16/2024, ₱680.00 , ₱4.26 ," ₱1,079.00 ", ₱49.00 , ₱11.60 , ₱503.00 , ₱33.30 , ₱38.05 , ₱34.10 , ₱138.03 , ₱109.00 , ₱31.16 ," ₱1,018.00 ", ₱33.90 , ₱100.00 , ₱2.68 , ₱1.25 , ₱9.63 , ₱20.85 , ₱17.90 , ₱3.11 ," ₱1,806.00 ", ₱614.53 , ₱248.40 , ₱263.00 , ₱41.90 , ₱53.80 , ₱1.98 , ₱372.20 , ₱8.28 ,0, ₱13.32 , ₱4.81 , ₱28.45 ," ₱1,015.00 ", ₱3.24 , ₱5.25 , ₱16.14 , ₱39.00 , ₱29.01 , ₱73.85 , ₱887.95 , ₱124.00 ,, ₱77.90 , ₱33.75 ," ₱1,276.00 ", ₱45.00 , ₱120.20 , ₱101.00 , ₱1.74 , ₱21.74 
1/17/2024, ₱683.00 , ₱4.07 ," ₱1,079.00 ", ₱48.20 , ₱11.62 , ₱503.00 , ₱32.30 , ₱38.00 , ₱33.95 , ₱137.93 , ₱109.00 , ₱31.16 ," ₱1,020.00 ", ₱34.30 ,, ₱2.66 , ₱1.25 , ₱9.65 , ₱20.95 , ₱17.92 , ₱3.10 ," ₱1,749.00 ", ₱625.48 , ₱248.00 , ₱261.60 , ₱40.00 , ₱53.99 , ₱1.96 , ₱373.20 , ₱8.08 ,0, ₱13.62 , ₱4.72 , ₱28.45 ," ₱1,015.00 ", ₱3.20 , ₱5.18 , ₱16.00 , ₱37.75 , ₱28.69 , ₱72.20 , ₱872.99 , ₱124.20 ,, ₱78.00 , ₱33.35 ," ₱1,284.00 ", ₱44.75 , ₱116.90 , ₱101.00 , ₱1.74 , ₱21.50 
1/18/2024, ₱676.00 , ₱4.08 ," ₱1,070.00 ", ₱48.80 , ₱11.60 , ₱505.00 , ₱31.55 , ₱38.00 , ₱34.10 , ₱134.56 , ₱109.80 , ₱31.11 ," ₱1,020.00 ", ₱34.00 , ₱100.00 , ₱2.68 , ₱1.25 , ₱9.53 , ₱21.10 , ₱17.80 , ₱3.10 ," ₱1,727.00 ", ₱616.02 , ₱247.80 , ₱261.00 , ₱38.75 , ₱53.75 , ₱1.98 , ₱374.00 , ₱8.10 ,0, ₱13.90 , ₱4.61 , ₱28.20 ," ₱1,010.00 ", ₱3.18 , ₱5.18 , ₱15.98 , ₱36.40 , ₱28.33 , ₱71.80 , ₱870.99 , ₱121.90 ,, ₱78.05 , ₱32.65 ," ₱1,260.00 ", ₱44.30 , ₱113.50 , ₱102.00 , ₱1.72 , ₱20.87 
1/19/2024, ₱675.00 , ₱4.14 ," ₱1,080.00 ", ₱48.80 , ₱11.66 , ₱505.00 , ₱32.35 , ₱37.85 , ₱34.10 , ₱135.55 , ₱106.20 , ₱31.16 ," ₱1,025.00 ", ₱34.00 , ₱100.00 , ₱2.69 , ₱1.23 , ₱9.55 , ₱20.95 , ₱17.72 , ₱3.10 ," ₱1,731.00 ", ₱609.55 , ₱239.20 , ₱267.00 , ₱38.00 , ₱54.77 , ₱1.99 , ₱377.00 , ₱8.15 ,0, ₱13.98 , ₱4.62 , ₱28.30 ," ₱1,000.00 ", ₱3.19 , ₱5.29 , ₱15.86 , ₱36.05 , ₱28.33 , ₱71.90 , ₱868.00 , ₱120.60 ,, ₱78.20 , ₱32.75 ," ₱1,270.00 ", ₱43.50 , ₱114.90 , ₱103.40 , ₱1.73 , ₱21.21 
1/22/2024, ₱691.00 , ₱4.07 ," ₱1,079.00 ", ₱49.00 , ₱11.60 , ₱505.00 , ₱33.35 , ₱38.00 , ₱34.00 , ₱139.32 , ₱106.50 , ₱31.21 ," ₱1,020.00 ", ₱34.80 ,, ₱2.69 , ₱1.23 , ₱9.76 , ₱21.00 , ₱18.00 , ₱3.10 ," ₱1,750.00 ", ₱639.43 , ₱241.00 , ₱259.80 , ₱38.95 , ₱55.35 , ₱1.97 , ₱385.00 , ₱8.30 ,0, ₱14.08 , ₱4.80 , ₱28.65 ," ₱1,000.00 ", ₱3.12 , ₱5.40 , ₱16.50 , ₱35.80 , ₱28.56 , ₱71.90 , ₱880.97 , ₱118.00 ,, ₱78.30 , ₱33.00 ," ₱1,296.00 ", ₱43.35 , ₱113.50 , ₱103.00 , ₱1.75 , ₱21.25 
1/23/2024, ₱683.50 , ₱4.14 ," ₱1,079.00 ", ₱48.75 , ₱11.60 ,, ₱34.30 , ₱37.95 , ₱34.00 , ₱140.71 , ₱107.60 , ₱31.16 ," ₱1,020.00 ", ₱34.25 , ₱100.50 , ₱2.70 , ₱1.24 , ₱9.83 , ₱20.95 , ₱18.20 , ₱3.14 ," ₱1,750.00 ", ₱638.43 , ₱243.40 , ₱263.00 , ₱39.10 , ₱56.42 , ₱1.97 , ₱383.40 , ₱8.55 ,0, ₱14.12 , ₱4.79 , ₱28.75 ," ₱1,005.00 ", ₱3.12 , ₱5.46 , ₱16.56 , ₱36.40 , ₱28.83 , ₱72.00 , ₱887.95 , ₱116.50 ,, ₱78.50 , ₱33.05 ," ₱1,290.00 ", ₱43.50 , ₱112.40 , ₱103.00 , ₱1.73 , ₱21.25 
1/24/2024, ₱693.00 , ₱4.18 ," ₱1,065.00 ", ₱49.15 , ₱11.50 , ₱503.50 , ₱34.50 , ₱37.60 , ₱34.00 , ₱143.48 , ₱109.60 , ₱31.21 ," ₱1,018.00 ", ₱32.70 , ₱100.50 , ₱2.72 , ₱1.24 , ₱9.85 , ₱20.90 , ₱18.32 , ₱3.15 ," ₱1,741.00 ", ₱657.35 , ₱246.00 , ₱270.00 , ₱38.70 , ₱56.42 , ₱1.97 , ₱383.00 , ₱8.58 ,0, ₱14.14 , ₱4.76 , ₱28.70 ," ₱1,015.00 ", ₱3.12 , ₱5.49 , ₱16.56 , ₱36.50 , ₱29.01 , ₱72.10 , ₱897.93 , ₱113.00 ,, ₱78.75 , ₱33.50 ," ₱1,282.00 ", ₱43.40 , ₱112.40 , ₱102.80 , ₱1.75 , ₱21.06 
1/25/2024, ₱680.00 , ₱4.26 ," ₱1,065.00 ", ₱49.10 , ₱11.50 , ₱503.00 , ₱34.15 , ₱37.50 , ₱33.50 , ₱142.59 , ₱111.20 , ₱30.96 ," ₱1,025.00 ", ₱32.95 , ₱100.50 , ₱2.66 , ₱1.24 , ₱10.00 , ₱20.80 , ₱18.26 , ₱3.15 ," ₱1,748.00 ", ₱652.37 , ₱241.00 , ₱270.20 , ₱38.05 , ₱55.94 , ₱1.97 , ₱380.00 , ₱8.60 ,0, ₱14.14 , ₱4.71 , ₱28.50 ," ₱1,020.00 ", ₱3.14 , ₱5.48 , ₱16.58 , ₱36.65 , ₱29.01 , ₱72.45 , ₱901.92 , ₱112.70 ,, ₱79.25 , ₱33.60 ," ₱1,288.00 ", ₱43.15 , ₱114.80 , ₱103.50 , ₱1.73 , ₱21.06 
1/26/2024, ₱675.00 , ₱4.18 ,, ₱48.60 , ₱11.32 , ₱503.00 , ₱34.00 , ₱37.80 , ₱32.00 , ₱143.48 , ₱113.70 , ₱31.06 ," ₱1,025.00 ", ₱32.00 , ₱100.90 , ₱2.68 , ₱1.22 , ₱9.83 , ₱20.70 , ₱18.20 , ₱3.11 ," ₱1,720.00 ", ₱652.87 , ₱236.00 , ₱274.60 , ₱38.05 , ₱56.23 , ₱1.98 , ₱377.40 , ₱8.43 ,0, ₱13.94 , ₱4.75 , ₱28.55 ," ₱1,020.00 ", ₱3.11 , ₱5.45 , ₱16.20 , ₱36.35 , ₱28.87 , ₱72.35 , ₱922.87 , ₱111.50 ,, ₱79.25 , ₱33.70 ," ₱1,294.00 ", ₱43.20 , ₱112.50 , ₱103.00 , ₱1.73 , ₱21.16 
1/29/2024, ₱661.00 , ₱4.18 ," ₱1,071.00 ", ₱48.00 , ₱11.30 ,, ₱33.50 , ₱37.65 , ₱31.50 , ₱143.58 , ₱112.00 , ₱31.06 ," ₱1,025.00 ", ₱32.10 , ₱100.90 , ₱2.65 , ₱1.22 , ₱9.93 , ₱20.65 , ₱18.22 , ₱3.13 ," ₱1,700.00 ", ₱630.46 , ₱236.00 , ₱264.00 , ₱37.50 , ₱54.96 , ₱1.95 , ₱376.00 , ₱8.34 ,0, ₱13.22 , ₱4.66 , ₱28.45 ,, ₱3.10 , ₱5.33 , ₱15.68 , ₱36.05 , ₱28.87 , ₱72.20 , ₱919.88 , ₱111.20 ,, ₱79.40 , ₱33.70 ," ₱1,284.00 ", ₱44.00 , ₱113.00 , ₱103.40 , ₱1.73 , ₱21.16 
1/30/2024, ₱660.00 , ₱4.30 ," ₱1,077.00 ", ₱47.95 , ₱11.32 ,, ₱33.00 , ₱37.85 , ₱32.70 , ₱142.09 , ₱110.40 , ₱31.21 ," ₱1,025.00 ", ₱32.00 , ₱100.40 , ₱2.67 , ₱1.23 , ₱10.02 , ₱20.50 , ₱18.20 , ₱3.11 ," ₱1,728.00 ", ₱656.36 , ₱239.40 , ₱259.00 , ₱39.10 , ₱54.57 , ₱1.96 , ₱368.00 , ₱8.68 ,0, ₱13.74 , ₱4.75 , ₱28.40 ,, ₱3.07 , ₱5.26 , ₱15.90 , ₱35.80 , ₱28.83 , ₱71.30 , ₱920.88 , ₱108.10 ,, ₱79.50 , ₱33.70 ," ₱1,275.00 ", ₱44.70 , ₱112.50 , ₱102.00 , ₱1.73 , ₱20.92 
1/31/2024, ₱679.00 , ₱4.25 ," ₱1,077.00 ", ₱48.50 , ₱11.34 ,, ₱34.10 , ₱38.00 , ₱32.55 , ₱143.68 , ₱110.60 , ₱31.26 ," ₱1,020.00 ", ₱32.95 , ₱100.40 , ₱2.66 , ₱1.23 , ₱10.06 , ₱20.55 , ₱18.22 , ₱3.11 ," ₱1,738.00 ", ₱662.83 , ₱243.00 , ₱254.00 , ₱38.30 , ₱55.55 , ₱1.96 , ₱362.00 , ₱8.81 ,0, ₱13.80 , ₱4.76 , ₱27.80 ,, ₱3.11 , ₱5.37 , ₱16.00 , ₱35.25 , ₱28.10 , ₱71.00 , ₱897.93 , ₱108.00 ,, ₱79.60 , ₱34.25 ," ₱1,272.00 ", ₱44.70 , ₱111.50 , ₱102.00 , ₱1.73 , ₱21.16 
2/1/2024, ₱678.00 , ₱4.25 ," ₱1,070.00 ", ₱47.95 , ₱11.34 , ₱503.00 , ₱33.65 , ₱37.65 , ₱32.60 , ₱142.69 , ₱112.50 , ₱31.16 ," ₱1,020.00 ", ₱34.10 , ₱100.90 , ₱2.66 , ₱1.22 , ₱10.06 , ₱20.45 , ₱18.12 , ₱3.10 ," ₱1,733.00 ", ₱657.35 , ₱243.00 , ₱254.00 , ₱39.00 , ₱55.35 , ₱1.95 , ₱357.00 , ₱8.78 ,0, ₱13.52 , ₱4.62 , ₱27.65 ,, ₱3.09 , ₱5.33 , ₱15.80 , ₱35.90 , ₱28.10 , ₱71.90 , ₱890.95 , ₱108.00 ,, ₱79.00 , ₱34.05 ," ₱1,255.00 ", ₱44.50 , ₱110.20 , ₱102.90 , ₱1.73 , ₱20.87 
2/2/2024, ₱672.00 , ₱4.35 ," ₱1,070.00 ", ₱47.50 , ₱11.54 , ₱503.00 , ₱33.50 , ₱37.35 , ₱33.00 , ₱147.15 , ₱116.10 , ₱31.50 ,, ₱34.10 , ₱99.00 , ₱2.66 , ₱1.21 , ₱10.12 , ₱20.50 , ₱18.12 , ₱3.12 ," ₱1,728.00 ", ₱654.86 , ₱248.00 , ₱259.80 , ₱39.50 , ₱55.50 , ₱1.97 , ₱363.00 , ₱9.42 ,0, ₱13.74 , ₱4.69 , ₱27.40 ," ₱1,020.00 ", ₱3.15 , ₱5.34 , ₱16.18 , ₱35.10 , ₱28.28 , ₱72.35 , ₱911.90 , ₱108.00 ,, ₱79.00 , ₱33.60 ," ₱1,286.00 ", ₱45.20 , ₱110.90 , ₱103.00 , ₱1.71 , ₱20.82 
2/5/2024, ₱671.00 , ₱4.34 ," ₱1,070.00 ", ₱47.50 , ₱11.52 , ₱430.20 , ₱33.60 , ₱36.85 , ₱33.10 , ₱147.24 , ₱115.00 , ₱32.15 ," ₱1,025.00 ", ₱35.20 , ₱100.90 , ₱2.70 , ₱1.21 , ₱10.02 , ₱20.55 , ₱18.00 , ₱3.15 ," ₱1,743.00 ", ₱680.26 , ₱255.80 , ₱261.20 , ₱40.00 , ₱56.13 , ₱2.00 , ₱368.80 , ₱9.54 ,0, ₱13.74 , ₱4.64 , ₱27.70 ," ₱1,020.00 ", ₱3.12 , ₱5.40 , ₱16.00 , ₱35.10 , ₱28.37 , ₱71.95 , ₱897.93 , ₱107.50 ,, ₱79.00 , ₱33.90 ," ₱1,275.00 ", ₱44.50 , ₱112.00 , ₱103.00 , ₱1.74 , ₱20.97 
2/6/2024, ₱672.00 , ₱4.33 ," ₱1,075.00 ", ₱47.50 , ₱11.52 , ₱500.00 , ₱34.15 , ₱37.05 , ₱33.45 , ₱146.65 , ₱114.20 , ₱32.89 ," ₱1,025.00 ", ₱36.75 , ₱100.90 , ₱2.70 , ₱1.22 , ₱10.28 , ₱20.60 , ₱17.90 , ₱3.15 ," ₱1,750.00 ", ₱687.23 , ₱259.80 , ₱260.60 , ₱40.50 , ₱55.26 , ₱2.00 , ₱365.00 , ₱9.64 ,0, ₱13.88 , ₱4.68 , ₱27.70 ,, ₱3.10 , ₱5.37 , ₱16.18 , ₱36.60 , ₱29.01 , ₱73.00 , ₱903.92 , ₱108.00 ,, ₱79.60 , ₱34.00 ," ₱1,290.00 ", ₱45.30 , ₱111.50 , ₱102.00 , ₱1.74 , ₱21.54 
2/7/2024, ₱715.00 , ₱4.35 ," ₱1,077.00 ", ₱47.50 , ₱11.60 , ₱502.50 , ₱34.50 , ₱37.20 , ₱34.50 , ₱148.63 , ₱112.60 , ₱33.14 ," ₱1,025.00 ", ₱36.15 , ₱100.90 , ₱2.70 , ₱1.22 , ₱10.04 , ₱20.65 , ₱17.98 , ₱3.15 ," ₱1,728.00 ", ₱692.21 , ₱270.00 , ₱262.80 , ₱39.55 , ₱56.13 , ₱1.99 , ₱372.00 , ₱9.68 ,0, ₱13.98 , ₱4.62 , ₱27.75 ,, ₱3.15 , ₱5.46 , ₱16.36 , ₱36.90 , ₱29.33 , ₱73.00 , ₱907.91 , ₱107.80 ,, ₱79.50 , ₱34.80 ," ₱1,300.00 ", ₱45.20 , ₱111.40 , ₱103.00 , ₱1.74 , ₱21.74 
2/8/2024, ₱700.00 , ₱4.38 ," ₱1,080.00 ", ₱47.25 , ₱11.74 , ₱502.50 , ₱34.90 , ₱37.85 , ₱34.10 , ₱152.20 , ₱113.40 , ₱33.14 ," ₱1,025.00 ", ₱36.00 ,, ₱2.69 , ₱1.23 , ₱10.30 , ₱20.50 , ₱18.00 , ₱3.15 ," ₱1,741.00 ", ₱673.29 , ₱271.00 , ₱261.40 , ₱39.05 , ₱57.59 , ₱2.01 , ₱367.00 , ₱9.95 ,0, ₱13.98 , ₱4.60 , ₱27.45 ,, ₱3.10 , ₱5.48 , ₱16.22 , ₱36.15 , ₱29.64 , ₱73.20 , ₱912.90 , ₱108.00 ,, ₱79.50 , ₱34.65 ," ₱1,295.00 ", ₱44.55 , ₱111.30 , ₱103.00 , ₱1.73 , ₱22.17 
2/12/2024, ₱715.00 , ₱4.24 ," ₱1,080.00 ", ₱46.00 , ₱11.68 ,, ₱34.55 , ₱37.80 , ₱34.00 , ₱149.42 , ₱114.60 , ₱32.79 ," ₱1,025.00 ", ₱35.45 ,, ₱2.70 , ₱1.22 , ₱10.40 , ₱20.55 , ₱18.02 , ₱3.15 ," ₱1,730.00 ", ₱692.21 , ₱274.00 , ₱257.60 , ₱38.65 , ₱57.49 , ₱1.99 , ₱360.00 , ₱9.95 ,0, ₱13.86 , ₱4.57 , ₱27.50 ,, ₱3.09 , ₱5.49 , ₱16.02 , ₱36.10 , ₱29.46 , ₱72.30 , ₱897.93 , ₱108.10 ,, ₱79.40 , ₱34.00 ," ₱1,289.00 ", ₱45.00 , ₱110.30 , ₱102.80 , ₱1.74 , ₱22.12 
2/13/2024, ₱720.00 , ₱4.23 ," ₱1,079.00 ", ₱46.00 , ₱11.60 ,, ₱34.85 , ₱38.00 , ₱34.10 , ₱151.01 , ₱113.50 , ₱33.38 ,, ₱35.60 ,, ₱2.68 , ₱1.23 , ₱10.68 , ₱20.50 , ₱18.34 , ₱3.15 ," ₱1,739.00 ", ₱697.19 , ₱272.00 , ₱258.00 , ₱39.00 , ₱57.40 , ₱1.97 , ₱355.60 , ₱10.36 ,0, ₱13.42 , ₱4.62 , ₱27.50 ," ₱1,020.00 ", ₱3.10 , ₱5.49 , ₱16.34 , ₱37.10 , ₱29.55 , ₱72.80 , ₱900.92 , ₱108.20 ,, ₱79.65 , ₱34.00 ," ₱1,294.00 ", ₱44.95 , ₱111.70 , ₱102.00 , ₱1.71 , ₱21.79 
2/14/2024, ₱708.00 , ₱4.26 ," ₱1,079.00 ", ₱46.05 , ₱11.60 , ₱505.00 , ₱34.90 , ₱38.00 , ₱34.00 , ₱151.21 , ₱114.50 , ₱33.63 ,, ₱35.55 ,, ₱2.69 , ₱1.23 , ₱10.51 , ₱20.45 , ₱18.70 , ₱3.12 ," ₱1,757.00 ", ₱706.16 , ₱270.00 , ₱255.00 , ₱39.50 , ₱57.88 , ₱1.96 , ₱361.80 , ₱10.36 ,0, ₱13.26 , ₱4.57 , ₱28.30 ," ₱1,020.00 ", ₱3.06 , ₱5.56 , ₱16.30 , ₱36.30 , ₱29.51 , ₱72.80 , ₱912.90 , ₱108.80 ,, ₱78.85 , ₱34.20 ," ₱1,296.00 ", ₱44.90 , ₱115.90 , ₱102.80 , ₱1.70 , ₱22.03 
2/15/2024, ₱708.00 , ₱4.21 ," ₱1,080.00 ", ₱46.00 , ₱11.60 , ₱505.00 , ₱34.70 , ₱37.65 , ₱33.90 , ₱152.89 , ₱114.50 , ₱34.62 ,, ₱36.10 ,, ₱2.69 , ₱1.21 , ₱10.60 , ₱20.65 , ₱19.50 , ₱3.19 ," ₱1,790.00 ", ₱717.11 , ₱273.00 , ₱257.00 , ₱40.30 , ₱57.78 , ₱1.97 , ₱362.00 , ₱10.60 ,0, ₱13.50 , ₱4.57 , ₱28.35 ," ₱1,020.00 ", ₱3.04 , ₱5.50 , ₱16.40 , ₱37.00 , ₱29.64 , ₱73.40 , ₱913.89 , ₱109.00 ,, ₱79.65 , ₱34.00 ," ₱1,300.00 ", ₱44.90 , ₱118.30 , ₱102.80 , ₱1.73 , ₱22.22 
